thread,exec_time,allocator
1,422.575764,mak
2,282.679096,mak
4,136.220385,mak
6,93.241992,mak
10,85.584931,mak
16,81.652786,mak
20,90.663984,mak
24,84.306169,mak
32,,mak
40,,mak
48,,mak
62,,mak
72,,mak
80,,mak
84,,mak
88,,mak
1,429.357042,mak
2,332.973991,mak
4,146.292889,mak
6,97.322181,mak
10,95.108792,mak
16,81.692606,mak
20,91.005671,mak
24,84.853062,mak
32,,mak
40,,mak
48,,mak
62,,mak
72,,mak
80,,mak
84,,mak
88,,mak
1,427.973264,mak
2,331.289869,mak
4,144.860105,mak
6,96.397284,mak
10,119.908193,mak
16,82.860131,mak
20,91.786924,mak
24,83.762822,mak
32,,mak
40,,mak
48,,mak
62,,mak
72,,mak
80,,mak
84,,mak
88,,mak
